MSOA21CD_home,county_home,MSOA21CD_work,county_work,count
E02000002,GREATER_LONDON_AUTHORITY,E02000004,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000005,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000007,GREATER_LONDON_AUTHORITY,8
E02000002,GREATER_LONDON_AUTHORITY,E02000016,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000019,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000247,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000329,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000346,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000398,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000466,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000467,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000468,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000471,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000472,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000473,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000474,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000475,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000476,GREATER_LONDON_AUTHORITY,5
E02000002,GREATER_LONDON_AUTHORITY,E02000480,GREATER_LONDON_AUTHORITY,3
E02000002,GREATER_LONDON_AUTHORITY,E02000481,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000487,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000491,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000555,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000732,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000738,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000741,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000751,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000752,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000753,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000756,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000757,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000760,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000762,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000763,GREATER_LONDON_AUTHORITY,4
E02000002,GREATER_LONDON_AUTHORITY,E02000767,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000772,GREATER_LONDON_AUTHORITY,2
E02000002,GREATER_LONDON_AUTHORITY,E02000781,GREATER_LONDON_AUTHORITY,1
E02000002,GREATER_LONDON_AUTHORITY,E02000808,GREATER_LONDON_AUTHORITY,1
