MSOA21CD,prop_soc1,prop_soc2,prop_soc3,prop_soc4,prop_soc5,prop_soc6,prop_soc7,prop_soc8,prop_soc9
E02000927,0.154139823431162,0.31830112145072775,0.21212121212121213,0.08064900978286806,0.0434263898830828,0.06012884753042233,0.04271057026962539,0.030780243378668574,0.05774278215223097
E02000928,0.23883974490845505,0.3628882945895906,0.19790166632380168,0.06973873688541453,0.028594939312898582,0.03620654186381403,0.026537749434272784,0.011931701296029624,0.027360625385723102
E02000929,0.12020075282308658,0.2368883312421581,0.16486825595984944,0.08557089084065245,0.053199498117942286,0.10941028858218318,0.06474278544542032,0.056461731493099125,0.10865746549560854
E02000930,0.18298816568047338,0.36967455621301776,0.22559171597633135,0.06686390532544378,0.031360946745562134,0.04260355029585799,0.03298816568047337,0.015680473372781067,0.032248520710059174
E02000931,0.23582726141816243,0.3717789230495824,0.22836324862271193,0.061844677448018484,0.02416918429003021,0.02736804691665186,0.02505775724186956,0.009241158699129198,0.016349742313843965
E02000932,0.22422145328719723,0.3695501730103806,0.2154555940023068,0.05986159169550173,0.028027681660899653,0.03621683967704729,0.030680507497116493,0.012687427912341407,0.023298731257208764
E02000933,0.21330724070450097,0.3350293542074364,0.19667318982387474,0.07240704500978473,0.03268101761252446,0.05322896281800391,0.03737769080234834,0.0187866927592955,0.04050880626223092
E02000934,0.1992468893254748,0.34921414538310414,0.21660117878192534,0.06761624099541585,0.03339882121807466,0.04878847413228553,0.0297969875573019,0.01899148657498363,0.036345776031434185
E02000935,0.10834553440702782,0.13469985358711567,0.11859443631039532,0.07723279648609077,0.08272327964860908,0.13469985358711567,0.10651537335285505,0.0746705710102489,0.16251830161054173
E02000936,0.1987333105100993,0.3656282095172886,0.17579596028757274,0.07754193769257103,0.034234851078397806,0.04964053406367682,0.034919548099965766,0.022423827456350565,0.04108182129407737
E02000937,0.24401810735072213,0.36106919594740244,0.2002586764388877,0.0668247467126536,0.022203061004526837,0.041172666522957535,0.02414313429618452,0.015305022634188403,0.025005389092476828
E02000938,0.17133661491859145,0.25085195001893223,0.15240439227565317,0.07232109049602424,0.06853464596743658,0.09238924649753881,0.05566073457023855,0.046762589928057555,0.08973873532752745
E02000939,0.2733882695104217,0.37178865729520116,0.20310227823557925,0.05404750363548231,0.016723218613669412,0.03514299563742123,0.022297624818225885,0.007755695588948134,0.015753756665050897
E02000940,0.16920678905438172,0.3079321094561829,0.19847592656737098,0.07568410114305507,0.04399030135088327,0.06044336681676481,0.04849324558365085,0.035157603048146864,0.060616556979563564
E02000941,0.22633136094674555,0.3039119000657462,0.21104536489151873,0.07412886259040105,0.038461538461538464,0.05161078238001315,0.03254437869822485,0.022518080210387904,0.03944773175542406
E02000942,0.23817204301075268,0.3496415770609319,0.18727598566308243,0.07544802867383513,0.02903225806451613,0.04390681003584229,0.03082437275985663,0.017025089605734768,0.02867383512544803
E02000943,0.19853326348873757,0.3815261044176707,0.22420115243583028,0.0642570281124498,0.022524882137244632,0.036319189802689014,0.03177929107735289,0.010476689366160294,0.030382399161864852
E02000944,0.14502164502164502,0.24621212121212122,0.14042207792207792,0.07169913419913419,0.07169913419913419,0.10227272727272728,0.06493506493506493,0.07034632034632035,0.0873917748917749
E02000945,0.09469804366316983,0.16671392117947265,0.11766373688687269,0.06861355259427275,0.10292032889140913,0.11851431811738021,0.09328040827899065,0.0757017295151687,0.1618939608732634
E02000946,0.1900647948164147,0.3185745140388769,0.20539956803455722,0.06803455723542116,0.03974082073434125,0.05874730021598272,0.042332613390928725,0.024406047516198705,0.052699784017278616
E02000947,0.22908577479703496,0.3505118249205789,0.19714084009883515,0.06847864454641722,0.02894458171549594,0.04200494175785387,0.031238969290504764,0.018884574655841865,0.033709848217437346
E02000948,0.1811841519513281,0.38700103872978187,0.22822377207300787,0.06885294554088144,0.027303754266211604,0.03502003264579315,0.027600534203887816,0.014097047039620121,0.030716723549488054
E02000949,0.22366314441242396,0.37624079410822925,0.21405699647774576,0.06580211335254563,0.025616394492475183,0.03682356708293308,0.023054755043227664,0.012487992315081652,0.022254242715337817
E02000950,0.17424616905585763,0.27533366287691546,0.16732575383094414,0.07439446366782007,0.06277805239742956,0.07785467128027682,0.04869006426099852,0.05264458724666337,0.06673257538309442
E02000951,0.17818091451292248,0.3590954274353877,0.21197813121272366,0.07480119284294234,0.03578528827037773,0.050944333996023855,0.0352882703777336,0.022365805168986085,0.031560636182902585
E02000952,0.19152854511970535,0.3472770323599053,0.21336490397263877,0.07261247040252565,0.032096816627203366,0.04630360431465404,0.034990791896869246,0.021310181531176007,0.040515653775322284
E02000953,0.18835245724182723,0.3775709027928123,0.18575449231435376,0.06559861441870535,0.03377354405715523,0.059969690409179474,0.03269105867070794,0.020567222342498376,0.035722017752760335
E02000954,0.15990796663790624,0.3569168823698591,0.2088006902502157,0.06844981305723324,0.04026459591601956,0.04802991084268047,0.03997699165947656,0.02645959160195571,0.05119355766465344
E02000955,0.1332450331125828,0.3154966887417219,0.19337748344370861,0.07947019867549669,0.0495364238410596,0.06357615894039735,0.06410596026490066,0.03682119205298013,0.06437086092715232
E02000956,0.12233285917496443,0.30488383119962065,0.1858700806069227,0.07373162636320531,0.05476529160739687,0.07207207207207207,0.05903271692745377,0.035324798482693216,0.09198672356567093
E02000957,0.13938053097345132,0.3057838179519595,0.19958912768647283,0.07285082174462705,0.05451959544879899,0.0643173198482933,0.05657395701643489,0.03603034134007586,0.07095448798988623
E02000958,0.15143347218818917,0.2999264886057339,0.18475863758882627,0.06983582455280568,0.058074001470227885,0.06616025483950012,0.05366331781426121,0.03969615290370007,0.0764518500367557
E02000959,0.13873527290213994,0.2543880740562635,0.16975234431353692,0.06828564558788171,0.08054820870401538,0.08199086318826641,0.05890839144025006,0.04135609521519596,0.10603510459245011
E02000960,0.3104976141785958,0.3166325835037491,0.16155419222903886,0.07123381049761418,0.016019086571233812,0.048738922972051804,0.028629856850715747,0.01465576005453306,0.032038173142467624
E02000961,0.24494675070636818,0.29319713105846557,0.16735492284286024,0.06542056074766354,0.030645511845251033,0.06455118452510324,0.054118669854379485,0.022821125842208214,0.0569441425777005
E02000962,0.28061085355876736,0.33106081265339515,0.16743932369784564,0.059721843468775564,0.0218161985274066,0.04745023179710935,0.03681483501499864,0.018271066266703027,0.03681483501499864
