MSOA11CD,active_commuters,prop_car,prop_pt,prop_active
E02000166,3479,0.20810577752227652,0.5481460189709687,0.23627479160678355
E02000167,3627,0.20099255583126552,0.6203473945409429,0.16432313206506755
E02000168,4044,0.13402571711177053,0.6078140454995055,0.24925816023738873
E02000169,3076,0.24512353706111834,0.6053315994798439,0.13296488946684004
E02000170,4613,0.16843702579666162,0.7075655755473661,0.11684370257966616
E02000171,3783,0.15543219666931007,0.605604017975152,0.2281258260639704
E02000172,3953,0.14748292436124463,0.5595750063243107,0.28484695168226665
E02000173,3843,0.14077543585740307,0.6599011189175124,0.19151704397606037
E02000174,4259,0.1171636534397746,0.6208030054003287,0.25498943413946934
E02000175,5217,0.11980065171554534,0.7676825761932144,0.10580793559516964
E02000176,3501,0.1331048271922308,0.7086546700942588,0.15109968580405597
E02000177,3832,0.13752609603340293,0.6179540709812108,0.2377348643006263
E02000178,4665,0.13311897106109324,0.7378349410503752,0.1232583065380493
E02000179,2737,0.17062477164778955,0.6364632809645597,0.18304713189623675
E02000180,3691,0.12679490652939582,0.5708480086697372,0.29504199403955567
E02000181,4480,0.12410714285714286,0.746875,0.121875
E02000182,2755,0.16152450090744103,0.6911070780399274,0.13321234119782213
E02000183,3750,0.17626666666666665,0.5088,0.2976
E02000184,3740,0.1232620320855615,0.6005347593582888,0.26737967914438504
E02000185,3521,0.15109343936381708,0.6773643851178642,0.16273785856290826
E02000186,3263,0.10910205332516089,0.5403003371130861,0.34017775053631627
E02000187,2769,0.12423257493680029,0.5395449620801733,0.3275550740339473
E02000188,2871,0.11041448972483456,0.5471960989202369,0.32636711947056773
E02000191,2841,0.07110172474480816,0.4336501231960577,0.48398451249560015
E02000192,3216,0.08146766169154229,0.3927238805970149,0.49844527363184077
E02000193,3767,0.06583488186886116,0.42659941598088663,0.48473586408282454
E02000001,4311,0.052424031547204826,0.34052424031547207,0.5912781257248898
E02000345,2884,0.22260748959778087,0.4441747572815534,0.32697642163661583
E02000346,2284,0.15061295971978983,0.7246059544658494,0.1138353765323993
E02000347,2818,0.20049680624556424,0.4921930447125621,0.30198722498225694
E02000348,2666,0.1849212303075769,0.5360090022505627,0.27419354838709675
E02000350,4756,0.15012615643397814,0.5632884777123633,0.27754415475189237
E02000351,5112,0.11150234741784038,0.7085289514866979,0.17390453834115807
E02000352,3070,0.17035830618892508,0.5348534201954397,0.2853420195439739
E02000353,4241,0.14171186041028058,0.5555293562838953,0.2947418061777883
E02000354,4136,0.13781431334622823,0.589458413926499,0.2664410058027079
E02000355,4076,0.16756624141315016,0.5451422963689893,0.27968596663395484
E02000356,4002,0.12543728135932034,0.5759620189905047,0.2926036981509245
E02000357,2035,0.20933660933660933,0.6373464373464374,0.14791154791154792
E02000358,5627,0.12919850719744091,0.5985427403589835,0.26621645637106806
E02000359,2964,0.17847503373819162,0.5158569500674763,0.3016194331983806
E02000360,4906,0.13697513249082754,0.5955972278842234,0.2562168772931105
E02000361,3938,0.11452513966480447,0.5934484509903505,0.2854240731335703
E02000362,2698,0.18532246108228317,0.5700518902891031,0.23647146034099334
E02000363,3907,0.17302277962631174,0.6053237778346557,0.21320706424366523
E02000364,4585,0.1247546346782988,0.5293347873500546,0.3387131952017448
E02000366,3683,0.1789302199294054,0.5422210154765137,0.27097474884604944
E02000367,5203,0.12012300595810109,0.5635210455506439,0.30886027291946955
E02000368,4080,0.1377450980392157,0.5350490196078431,0.3218137254901961
E02000369,5383,0.11907858071707227,0.5758870518298347,0.2948170165335315
E02000370,3793,0.11705773793830741,0.5114684945953072,0.36409174795676247
E02006918,2975,0.20470588235294118,0.6100840336134454,0.17445378151260504
E02006921,2577,0.18626309662398138,0.5696546371750097,0.23903764066744276
E02000372,4006,0.18097853220169746,0.600599101347978,0.21367948077883175
E02000373,2435,0.1782340862422998,0.6213552361396304,0.19630390143737167
E02000374,3150,0.2003174603174603,0.5888888888888889,0.20507936507936508
